"OLD MUSIC DCL""round flat"" 5""no more"" WHY+++ EACH+ONE EACH+ONE IX-3p-pl-arc HAVE fs-IPOD",People aren't using records anymore because they have iPods now.,Why does each person have an iPod when old music records are no more?  ,Why do they all have iPods despite old music discs being gone?  ,Why does everyone have an iPod even though old music records don't exist anymore?  ,Why does each one have iPods when old records are obsolete?  ,Why do people have iPods since old music albums are gone?  ,Why do each and every one of them have iPods even though old music records are gone?  ,Why do they each own an iPod when old music recordings are extinct?  ,"Why are old music discs gone, and each person still has an iPod?  ",Why has every person kept an iPod when old music records are no longer around?  ,Why does it seem everyone has iPods even when old music records are finished?,,,,,,,,,
PAST+NIGHT PAST+NIGHT IX-1p PLAY+ (crvd-5)BASKETBALL SCRIMMAGE WITH FRIEND (Y)WOW+ (baby-O)BY-A-HAIR (1h)BEAT THIRTY_2+ TWENTY-EIGHT,"Last night, I played basketball with friends. It was a close game and we barely beat them, 30-28.","Last night I played a basketball scrimmage with friends and wow it was a close game, we won 32 to 28.  ",Yesterday evening I played a friendly basketball match with friends and we barely won 32-28.  ,"Last night, I played a basketball game with friends and narrowly won 32 to 28.  ","Yesterday night, my friends and I played a basketball scrimmage and won narrowly 32-28.  ","Last evening I played basketball with friends, and it was a close win at 32 to 28.    ","Last night, I played a basketball scrimmage with my friends and wow, we just won 32-28.  ","The night before, I played a competitive basketball game with friends and we barely won 32 to 28.  ","Last night, I scrimmaged in basketball with friends and it was a tight game, winning 32 to 28.  ","Yesterday night, I participated in a basketball game with my friends and managed to win 32-28 by a hair.  ","Last night, my friends and I had a basketball scrimmage and it was a thrilling close win of 32 to 28.  ",,,,,,,,,
FRIEND GROUP/TOGETHER GO-OUT WHY IX-3p:i HAVE (P)PARTY IX-loc:j,My friends get together to go out because there is a party.,Why is my friend group going out together to a party there?  ,Why is that party where my group of friends is going out together?  ,Why are they having a party where my friend group is going out together?  ,Why is there a party that my friend group is going out to together?  ,Why is my group of friends having a party there going out together?  ,Why are my friends holding a party over there together?  ,Why did they have a party there with my friend group going out together?  ,Why is my friend group going out together for the party there?  ,Why is the party being held where my friend group is going together?  ,Why does my group of friends have a party there to attend together?  ,,,,,,,,,
"WHEN FRIEND IX-loc:i OVER-IT IX-1p DCL:crvd-V""switch seats"" IX-1p DRIVE IX-1p","If my friend is sick of driving, we will switch and I will drive.","When my friend was fed up, we switched seats and I drove.  ","When my friend got tired, we exchanged seats and I became the driver.  ","When my friend became frustrated, we swapped seats with me driving.  ","When my friend couldn’t take it anymore, we changed seats and I took over driving.  ","When my friend was upset, we switched places and I started driving.  ","When my friend had enough, we traded seats, and I took the wheel.  ","When my friend felt done, we exchanged positions, and I drove.  ","When my friend was over it, we swapped spots and I drove instead.  ","When my friend reached his limit, we switched places, and I began driving.  ","When my friend couldn’t handle it, we traded places and I drove.",,,,,,,,,
GO-OUT TIE_2+FISHING TIE_2+FISHING WHO,Who is going out fishing?,Who is going out fishing with who?  ,Who went out fishing with whom?  ,Who will go out fishing with whom?  ,Who are the two people going out fishing?  ,Who went fishing with whom?  ,Which two people are fishing together?  ,Who are paired for fishing?  ,Who plans to go out fishing together?  ,Who is accompanying who fishing?  ,Who partners with whom for fishing?,,,,,,,,,
IX-1p WORK+,I'm working.,I am going to work.  ,I have work.  ,I work.  ,I am working.  ,I need to work.  ,I'm at work.  ,I will work.  ,I'm supposed to work.  ,I must work.  ,I got work.  ,,,,,,,,,
FRIEND GROUP/TOGETHER DEPART FISHING #WHEN,When are the friends going fishing?,When is the group of friends leaving for fishing together?  ,When are the friends going to go fishing together?  ,When are the friends planning to leave for fishing together?  ,When are the friends heading out for fishing together?  ,When do the friends plan to depart for fishing together?  ,When does the group of friends plan to go fishing together?  ,When will the friends go fishing together?  ,When will the group of friends go fishing together?  ,When are the friends departing to go fishing together?  ,When are the friends supposed to leave together for fishing?,,,,,,,,,
MUST WORK ALL-NIGHT,You have to work all night?,I have to work all night.  ,I must work overnight.  ,I need to work all night.  ,I am required to work all night.  ,I must work through the night.  ,It is necessary for me to work all night.  ,I should work all night.  ,I've got to work all night.  ,I have to pull an all-nighter for work.  ,I must stay up working all night.,,,,,,,,,
"FRIEND IX-3p-pl-arc GROUP/TOGETHER SCL:crvd-5""group go together"" FISHING fs-FUN",Was the fishing trip with friends fun?,My friends and I went fishing together for fun.  ,Friends gathered as a group went fishing for fun.  ,The group of friends went fishing together for fun.  ,A group of us friends went out fishing for fun.  ,Friends formed a group and went fishing together for fun.  ,I joined my friends in a group to go fishing for fun.  ,My friends and I grouped together and went fishing for fun.  ,The friends went fishing together as a group for fun.  ,"Together with friends, they went fishing for fun.  ",Friends went fishing as a group because it was fun.,,,,,,,,,
FRIEND GROUP/TOGETHER GO-OUT (P)PARTY+,My friends are going out to a party together.,The group of friends is going out to party together.  ,My friends and I are going out together to party.  ,Friends are going out together for a party.  ,The friends are all going out to party together.  ,A group of friends is going out to have a party.  ,Our group of friends is heading out to party together.  ,We're all going out together as friends for a party.  ,Some friends are going out together to party.  ,They're going out together as a friend group to party.  ,All of the friends are going out together to party.,,,,,,,,,
"(5)POSS-1p FRIEND IX-loc:i BCL:bent-B-L""do nothing"" NONE/NOTHING FUTURE PROCEED VIDEO-GAME ALL-DAY","My friend, if he has nothing to do, he will play video games all day.","My friend and I are doing nothing today, just playing video games all day.  ","I am not doing anything with my friend today, we're playing video games all day.  ","Today, my friend and I have nothing planned, just video games all day.  ",My friend and I are going to spend the whole day doing nothing but playing video games.  ,"I'm not doing anything today, just hanging out and playing video games with my friend all day.  ",My friend and I decided to do absolutely nothing today except play video games all day.  ,"There's nothing my friend and I are doing today, only video gaming all day.  ","I'm spending the day with my friend doing nothing, just playing video games all day long.  ","Nothing is planned for today with my friend, we're just video gaming throughout the day.  ","The plan with my friend today is just video games, we're not doing anything else.",,,,,,,,,
(crvd-L)POSS-1p FRIEND KISS-FIST LAPTOP TYPE INTERNET (25)WHY USE_2+ fs-GOOGLE fs-CHROME VERY-FAST,My friend likes to use the Internet because he uses Google Chrome and it is fast.,My friend loves typing on the laptop and asks why the internet is faster using Google Chrome.  ,My friend adores the laptop and wonders why Google Chrome is so fast on the internet.  ,My friend likes typing on the laptop and questions why one should use Google Chrome for speed.  ,"My friend's favorite is the laptop, and they inquire about Google Chrome being faster online.  ",My friend is fond of the laptop and asks why the internet speed is better with Google Chrome.  ,My friend appreciates using the laptop and asks why Google Chrome is faster on the internet.  ,My friend enjoys using the laptop and wonders why it's quicker with Google Chrome.  ,My friend likes the laptop and asks why Google Chrome is very fast on the internet.  ,My friend loves the laptop and questions why Google Chrome offers fast internet speeds.  ,My friend loves typing on the laptop and asks why Google Chrome makes the internet fast.,,,,,,,,,
#TV IX-loc:i HOW-MANY+ IX-loc:i,How much is that TV?,How many TVs are there?  ,How many televisions are there?  ,What is the number of TVs?  ,How many TV sets are there?  ,How many TV units are there?  ,What's the count of TVs?  ,What’s the total number of TVs?  ,How many TV screens are there?  ,What is the quantity of TVs?  ,How many TV appliances are there?  ,,,,,,,,,
"#IF+ POSS-1p FRIEND MAKE-IT SURPRISE ns-fs-BOB IX-1p DCL:X-over-thumb""tip hat"" WHY+ ns-fs-BOB IX-3p:i REALLY IMPOSSIBLE SURPRISE IX-3p:i","If my friend succesfully surprises Bob, kudos to him because it`s nearly impossible to surprise Bob!","If my friend surprises Bob, I'd tip my hat because he is really hard to surprise.  ","If my friend surprises Bob, I'd be amazed because Bob is really impossible to surprise.  ","If my friend is able to surprise Bob, I would tip my hat because Bob is really difficult to surprise.  ","If I surprise Bob with my friend's help, I would tip my hat since Bob is really hard to surprise.  ","Should my friend manage to surprise Bob, I'd tip my hat as Bob is really challenging to surprise.  ","If my friend can surprise Bob, I'd be impressed because Bob is really impossible to surprise.  ","If my friend succeeds in surprising Bob, I'd tip my hat given how hard Bob is to surprise.  ","If Bob is surprised by my friend, I would tip my hat because he is really hard to catch off guard.  ","If it's possible for my friend to surprise Bob, I'd tip my hat since Bob is usually not surprise-able.  ","If Bob is surprised by my friend, I'd be truly impressed because Bob is typically impossible to surprise.  ",,,,,,,,,
#HS IX-2p GO WHERE,Where did you go to high school?,Where are you going?  ,Where are you headed?  ,Where are you off to?  ,Where will you go?  ,Where is your destination?  ,Which place are you going to?  ,Where will you be going?  ,Where are you planning to go?  ,What place are you going to?  ,Where are you traveling to?  ,,,,,,,,,
FRIEND IX-3p:i DRIVE,My friend is driving.,A friend of theirs is driving.  ,Their friend is driving.  ,They have a friend who drives.  ,One of their friends is driving.  ,A friend of theirs drives.  ,Their friend drives.  ,They are being driven by a friend.  ,Their friend is the driver.  ,Their friend will drive.  ,They have a friend driving.  ,,,,,,,,,
FRIEND IX-loc:i KISS-FIST LAPTOP TYPE INTERNET,Do your friend love surfing the internet on their laptop?,My friend loves using the laptop to surf the internet.  ,My friend likes typing on the laptop and using the internet.  ,My friend really enjoys using the laptop and internet.  ,My friend loves to type on the laptop and go on the internet.  ,My friend is fond of their laptop and browsing the internet.  ,My friend really likes to type on the laptop and use the internet.  ,My friend loves their laptop and being online.  ,My friend enjoys typing on the laptop and surfing the internet.  ,My friend is enthusiastic about using the laptop for internet tasks.  ,My friend likes using the laptop and exploring the internet.  ,,,,,,,,,
"IX-2p WORK ""WHAT""",What's your job?,What do you two do for work?  ,What work do you both do?  ,What is your job?  ,What kind of job do you both do?  ,What type of work are you involved in?  ,What do you guys do for a living?  ,What is your occupation?  ,What kind of work are you engaged in?  ,What work do you two do?  ,What job do you both have?,,,,,,,,,
"WHEN (crvd-5)POSS-1p FATHER+ START VIDEO-GAME IX-1p 5""whoa"" IX-1p UP WHY+ IX-loc:i VIDEO-GAME BORE IX-1p LOOK:i","When my father starts to play video games, I go upstairs because it's boring to watch him play.","When my father started the video game, I was amazed, but then I found it boring.  ","When my dad began playing the video game, I was like ""whoa,"" but then it became boring to me.  ","When my dad first started the video game, I was impressed, but it bored me eventually.  ","When my father began the video game, I was surprised, but later it felt boring to me.  ","When my father played the video game, at first I was excited, but then I found it boring.  ","I was amazed when my dad started the video game, but then it became boring.  ","At first, I was impressed when my father began the video game, but it later became boring.  ","When my dad started the video game, I was like ""wow,"" but afterward, it was boring.  ","I was in awe when my father started playing the video game, but later it was boring to me.  ","Initially, my dad starting the video game amazed me, but it turned out to be boring.",,,,,,,,,
WHEN FRIEND i:CALL-ON-RELAY/VRS-1p #VP LIGHT LIGHT-FLASH,"When a friend calls me via VP, the lights flash on and off.","When my friend calls me through relay/VRS, the VP lights flash.","When my friend uses relay/VRS to call, the light flashes.",The VP light flashes when my friend calls me using relay/VRS.,"My friend calls me via relay/VRS, and then the lights flash.","When my friend calls with relay/VRS, the lights start flashing.",The lights flash when my friend calls me on relay/VRS.,"My friend uses relay/VRS to call me, and the light flashes.","When using relay/VRS, my friend calling makes the light flash.","When my friend contacts me through relay/VRS, the light begins flashing.",The VP light starts flashing when my friend makes a call on relay/VRS.,,,,,,,,,
WANT #VP WHERE,Where do you want the video phone?,Where do you want to vote?  ,Where is the place you want to vote?  ,Where do you want to go to vote?  ,Where are you planning to vote?  ,Where would you like to vote?  ,Where are you intending to vote?  ,Where do you wish to vote?  ,Which location do you want to vote at?  ,Where do you prefer to vote?  ,Where do you want to cast your vote?  ,,,,,,,,,
KIND (P)PARTY part:indef,What kind of party is it?,What kind of party is it?  ,What type of party?  ,Which kind of party are we talking about?  ,What sort of party?  ,What party kind is it?  ,What kind of event is the party?  ,What type of event is the party?  ,What is the nature of the party?  ,What kind is the party?  ,What sort of party is it?  ,,,,,,,,,
FRIEND IX-3p-pl-arc (1h)TEND TYPE LAPTOP INTERNET,My friends tend to surf the internet on their laptops.,My friend tends to type on the laptop when using the internet.  ,My friend likes to type on the laptop while on the internet.  ,My friend usually types on the laptop and uses the internet.  ,My friend often types on the laptop when browsing the internet.  ,My friend generally types on the laptop with internet use.  ,My friend typically types on the laptop while using the internet.  ,My friend frequently types on the laptop when online.  ,My friend prefers typing on the laptop when using the internet.  ,My friend is inclined to type on the laptop with internet access.  ,My friend habitually types on the laptop while surfing the internet.  ,,,,,,,,,
POSS-1p MOTHER+ IX-loc:i KISS-FIST GLASSES_2 WHY+ FACE fs-BAD NEAT,My mother loves glasses because she looks cool in them.,I love my mom's glasses because they make her look nice.  ,I love my mother's glasses because her face looks very neat.  ,I love my mom's glasses because they make her look neat.  ,My mother's glasses make her face look very neat.  ,I love my mom's glasses because they make her face look nice.  ,"My mother looks neat with her glasses, which I love.  ",I adore my mother's glasses because they make her face look nice.  ,I love my mom's glasses because they make her look neat.  ,I kiss my mom's glasses because they make her face look nice.  ,I love my mom's glasses because her face looks neat with them.  ,,,,,,,,,
DURING/WHILE COLD IX-1p (1h)TEND SICK-continuative WHY++ (1h)TEND USE_2 FLIP-FLOP+ part:indef,"During the winter, I tend to get sick a lot because I tend to wear flip flops.","During cold weather, I tend to get sick often, wondering why I keep switching between feeling fine and not.  ","While it's cold, I tend to get sick and frequently wonder why I keep flip-flopping.  ","When it's cold, I tend to frequently ask why I always change between feeling sick and well.  ",I often get sick during cold weather and question endlessly why I constantly flip-flop.  ,"During the cold, I tend to get sick repeatedly and wonder why I keep switching back and forth.  ","When it's cold, I often get sick and keep wondering why I’m flip-flopping.  ","While it's cold, I tend to feel sick repeatedly and question why I flip-flop so much.  ",I frequently get sick when it's cold and wonder why I keep alternating feelings.  ,"During cold weather, I tend to be sick often and repeatedly ask why I waver so much.  ","While cold, I tend to frequently wonder why I always switch between health and sickness.  ",,,,,,,,,
FRIEND GROUP/TOGETHER PLAN SURPRISE ns-fs-BOB WHY++ ns-fs-BOB IX-loc:i AGE-TWENTY-ONE_2 IX-3p:i BUOY,My friends got together and planned to surprise Bob for his 21st.,The friend group is planning a surprise for Bob because he is turning 21 soon.  ,The friends together planned a surprise for Bob's 21st birthday.  ,Our friend group is planning a surprise for Bob since he's going to be 21.  ,The friends are together planning a surprise for Bob’s 21st birthday.  ,Bob's friends are preparing a surprise as he is turning 21.  ,The group of friends is organizing a surprise for Bob who is turning 21.  ,Friends together plan a surprise party for Bob who is turning 21 years old.  ,"The friend group collectively plans a surprise for Bob, who is about to be 21.  ",Bob's friends are planning a birthday surprise for his 21st birthday.  ,The group of friends plans a surprise for Bob due to him turning 21.,,,,,,,,,
IF IX-1p ARRIVE WORK LATE POSS-1p BOSS FUTURE FIRED IX-1p (1h)part:indef,"If I arrive to work late, my boss will fire me.","If I arrive late to work, my boss might fire me in the future.  ","If I show up late to work, my boss could possibly fire me later.  ","If I'm late getting to work, there is a chance my boss will fire me.  ","If I am late for work, maybe my boss will fire me someday.  ","If I come to work late, it’s possible my boss will fire me later.  ","If I’m late arriving to work, I might be fired by my boss eventually.  ","If I am late to work, there is a possibility my boss will fire me.  ","If I go to work late, my boss might eventually let me go.  ","If I am late getting to work, there is a risk that my boss will fire me.  ","If I reach work late, there is a chance that my boss might fire me. ",,,,,,,,,
FINISH GRADUATE #HS IX-2p,Did you graduate high school?,I graduated from high school this past May.  ,I graduated from high school in the second semester.  ,The two of us graduated high school.  ,"Finished high school, the two of us.  ",We both graduated from high school.  ,The pair of us finished high school.  ,High school graduation finished for both of us.  ,Two of us finished high school.  ,Both finished high school graduation.  ,Both of us graduated from high school.  ,,,,,,,,,
COOK/KITCHEN EAT+NIGHT+ EAT+NIGHT+ WHO,Who is cooking dinner?,Who cooked in the kitchen last night?  ,Who cooked in the kitchen during the night?  ,Who was in the kitchen cooking last night?  ,Who was cooking in the kitchen last night?  ,Who prepared food in the kitchen last night?  ,Who used the kitchen for cooking last night?  ,Who did the cooking in the kitchen last night?  ,Who was the person cooking in the kitchen last night?  ,Who spent the night cooking in the kitchen?  ,Who handled the cooking in the kitchen last night?,,,,,,,,,
IX-2p BUY CAR WHERE,Where did you buy the car?,Where did the two of you buy the car?  ,Where are you two going to buy a car?  ,Where do the two of you plan to buy a car?  ,Where are the two of you buying the car?  ,"Where did you buy the car, both of you?  ",Where do you and the other person buy the car?  ,Where will the two of you get a car?  ,Where are both of you buying the car?  ,Where can you two buy a car?  ,Where did both of you buy a car?,,,,,,,,,
WHEN IX-1p ARRIVE SCHOOL IX-1p 1p-INFORM:i MOTHER IX-1p FINISH ARRIVE SAFE,"When I arrive at school, I let my mom know that I have arrived at school safely.","When I arrive at school, I inform my mother I arrived safely.  ","When I get to school, I tell my mom that I have arrived safely.  ","Upon arriving at school, I let my mother know I arrived safely.  ","When I reach school, I tell my mother I have arrived safely.  ",I inform my mom of my safe arrival at school when I get there.  ,"After arriving at school, I notify my mother that I arrived safely.  ","Once I get to school, I tell my mom I arrived safely.  ","When I go to school, I let my mother know I'm safe.  ","Upon reaching school, I inform my mother of my safe arrival.  ","After I get to school, I let my mom know I have arrived safely.  ",,,,,,,,,
IX-2p (1h)VOMIT/HATE VIDEO-GAME IX-loc:i (25)WHY IX-loc:i,Why do you hate video games?,Why do you hate video games?  ,Why does she hate video games?  ,Why do they hate video games?  ,Why is she against video games?  ,Why does he hate video games?  ,Why do you not like video games?  ,Why are you against video games?  ,Why does he dislike video games?  ,Why does she dislike video games?  ,Why are they against video games?,,,,,,,,,
POSS-2p FRIEND GROUP/TOGETHER TRIP WHY++ (1h)part:indef,Why is your group of friends travelling?,Why are your friends planning a group trip together?  ,Why is your friend group going on a trip together?  ,Why is your group of friends taking a trip together?  ,Why do your friends want to go on a trip together?  ,Why does your friend group have a trip planned together?  ,Why does your friends' group take trips together?  ,Why do your friends need to go on a trip together?  ,Why is it that your friends plan trips together?  ,Why does your group of friends want to travel together?  ,Why do your friends choose to go on trips together?  ,,,,,,,,,
FRIEND GROUP/TOGETHER DRIVE WHERE,Where did the friends drive to?,Where is the group of friends driving together?,Where are the friends driving as a group?,Where are friends driving together?,Where together are friends driving?,Where are the friends together driving?,Where are the friends heading together by driving?,Where do friends drive together as a group?,Where is the group of friends going together in the car?,Where are the group of friends driving to together?,Where is the group going to drive together?,,,,,,,,,
IX-1p GO SCHOOL++,I am going to school.,I went to school several times.  ,You go to school repeatedly.  ,He/she goes to school often.  ,They frequently attend school.  ,I go to school regularly.  ,You attend school multiple times.  ,He/she attends school many times.  ,We repeatedly go to school.  ,They go to school repeatedly.  ,I frequently attend school.  ,,,,,,,,,
FRIEND GROUP/TOGETHER GO-OUT TRIP,My friends are travelling together.,The friend group is going on a trip together.  ,A group of friends is going out on a trip together.  ,The group of friends is taking a trip together.  ,Friends are going out together on a trip.  ,The friend group is planning to go out on a trip.  ,A group of friends is heading out on a trip.  ,Friends are taking a trip together as a group.  ,The friends are going together on a trip.  ,The group of friends plans to go out on a trip.  ,Friends together are going out on a trip.  ,,,,,,,,,
ns-fs-MAC TROUNCE fs-PC WHY+ ns-fs-MAC EXPERT MATCH PEOPLE WANT_2,Mac beats PC because Mac is good at suiting people`s needs.,Why did Mac trounce the PC? Mac is the expert match people want.  ,How did Mac manage to trounce the PC? Experts say the match people want is Mac.,Mac trounced the PC because Mac is the expert match people desire.,Mac defeated the PC due to Mac being the expert match that people want.,The PC was beaten by Mac; experts think it's the match people want.,Why did Mac defeat the PC? Because Mac is the preferred expert match.,Mac gave a thrashing to the PC because expert matches favor Mac.,What caused Mac to triumph over PC? Mac is the expert match individuals prefer.,Mac outperformed the PC because it is the desirable expert match.,The reason Mac defeated PC is that people want the expert match Mac provides.,,,,,,,,,
#IF IX-3p:i FRIEND IX-loc:i FINISH HOMEWORK+ EMPTY/EARLY GUARANTEE LAPTOP TYPE INTERNET ALL-NIGHT (1h)part:indef,"If my friend finishes his homework early, it is guaranteed he will be surfing the Internet all night long.","If my friend finishes his homework early, I guarantee he can stay on the laptop and type on the internet all night.  ","If my friend finishes his homework quickly, he is definitely allowed to have an all-night laptop internet session.  ","If my friend completes his homework early, he can assuredly use the laptop on the internet all night long.  ","If my friend finishes his homework early, I promise he can use the laptop to go online all night.  ","If my friend finishes his homework early, he is guaranteed laptop internet access all night.  ","If my friend is done with his homework early, I guarantee he can spend all night on the internet using the laptop.  ","If my friend completes his homework early, I assure he can use the laptop for the internet all night.  ","If my friend finishes his homework early, I guarantee that he will be allowed to stay online with the laptop all night.  ","If my friend gets done with his homework early, he is promised indefinite laptop internet usage for the night.  ","If my friend is finished with homework early, I am sure he will be on the laptop surfing the internet all night.  ",,,,,,,,,
FRIEND IX-loc:i MUST DRIVE WHY IX-1p TIRED IX-1p,My friend has to drive because I am tired.,My friend needs to drive because I am tired.  ,My friend has to drive because I'm tired.  ,My friend must drive as I am tired.  ,My friend has to drive since I am tired.  ,My friend needs to drive since I'm exhausted.  ,My friend must drive because I'm exhausted.  ,My friend needs to drive because I am fatigued.  ,My friend has to drive as I am fatigued.  ,My friend must drive since I'm tired.  ,My friend must drive because I am worn out.  ,,,,,,,,,
#IF+ (fanned-flat-O)POSS-1p FRIEND DRIVE IX-1p (1h)SIT BACK SLEEP,"If my friend drives, I will sit in the back and sleep.","If my friend drives, I sleep in the back seat.  ","If my friend drives, I will sleep in the back.  ","If it’s my friend driving, I will sleep in the back seat.  ","If my friend drives, I sit in the back and sleep.  ","If my friend is driving, I’ll be asleep in the back.  ","If I have my friend drive, I'll sleep in the back seat.  ","When my friend drives, I sit back and sleep.  ","If it’s my friend driving, I sleep in the back.  ","If my friend is driving, I’m going to sleep in the back.  ","When my friend drives, I like to fall asleep in the back.",,,,,,,,,
IX-2p WORK WHERE,Where do you work?,Where do you work?  ,Where are you working?  ,At which place do you work?  ,Where is your workplace?  ,Where do you have a job?  ,Where is your job?  ,Where are you employed?  ,Which location do you work at?  ,Where is your place of employment?  ,Where's your work?  ,,,,,,,,,
FRIEND IX-3p-pl-arc (P)PARTY+ (1h)GOOD/THANK-YOU,Was my friends' party good?,"The friends invited me to the party, which was nice.","My friends had a party, and I'm grateful.","The friends' party was good, thank you.","The friends had a party, and it was nice.","The friends threw a great party, so thank you.","My friends' party was enjoyable, thank you.","The friends' party was fun, thank you.","My friends invited me to their party, thanks.","The friends hosted a lovely party, thank you.","The friends organized a good party, thank you.",,,,,,,,,
KID IX-loc-pl-arc VOMIT/HATE IX-3p:i PRINCIPAL (25)WHY++ #IF IX-3p:j NOT ACTION HOMEWORK IX-3p:i i:BAWL-OUT-distributive-3p-pl-arc,"Those kids hate the principal because if they don`t do homework, he will yell at them.",The kids vomit because they hate the principal if he doesn't do anything about the homework and he cries out.  ,Kids hate the principal vomiting if he doesn't take action on their homework and screams at them.  ,"Kids hate the principal vomiting, questioning why he doesn't act on their homework and shouts at them.  ","The students dislike the principal enough to vomit if he ignores the homework, causing him to scream at them.  ","Kids are disgusted with the principal for not acting on their assignments, so they shout at him.  ","The children vomit over how much they hate the principal when he doesn't step in about homework, yelling results from them.  ",The students despise the principal vomiting when he fails to respond to the homework situation and reprimands them.  ,"Children hate the principal to the point of vomiting because of his inaction on their assignments, and they yell at him.  ","Kids absolutely hate it when the principal is sick and won't do anything about the homework, so they yell at him.  ","The principal is hated by the kids for vomiting and not addressing homework issues, causing them to shout at him.  ",,,,,,,,,
IX-1p HIT MISS/ASSUME POSS-1p MORNING CLASS_2 WHY++ IX-1p OVERSLEEP IX-1p,"One time, I missed my morning class because I accidentally over slept.",I thought I might miss my morning class because I overslept.  ,I assumed I would miss my morning class as I overslept.  ,I was worried I'd miss my morning class since I overslept.  ,I believed I would miss my morning class because I overslept.  ,I figured I might miss my morning class due to oversleeping.  ,I was concerned about missing my morning class because I overslept.  ,I thought I was going to miss my morning class because of oversleeping.  ,I assumed I would not make it to my morning class since I overslept.  ,I assumed I was going to miss my morning class because I slept in.  ,I was afraid I would miss my morning class from oversleeping.  ,,,,,,,,,
POSS-1p FRIEND IX-3p:i FAVORITE/PREFER REMOTE #VP VIDEO-PHONE NOT TEXTING (25)WHY COMMUNICATE+ #ASL FINEwg,My friend likes to VP rather than text because he likes to communicate in ASL.,My friend and I prefer videophone over texting. Why? Because communicating in ASL is great.,My friend prefers using a videophone instead of texting. Why? Because communicating in ASL is fine.,My friend and I love using a VP for communication rather than texting. Why? ASL works well.,"My friend prefers to communicate via video phone, not texting, because we think ASL is better.",My friend prefers video calls over text because using ASL to communicate is just fine.,I prefer to video call my friend instead of texting. Why? Because communicating in ASL works perfectly.,My friend and I favor using video phones over texting for communication. Why? ASL communication is ideal.,My friend prefers to use a VP instead of texting for communication because ASL is great.,My friend likes using video phone for communication rather than texting. Why? ASL is effective.,My friend and I choose to communicate by video phone instead of texting because ASL is wonderful.,,,,,,,,,
#IF+ FRIEND GROUP/TOGETHER DEPART FISHING IX-1p CHECK (5)WEATHER MAKE REALLY #OK,"If my friends are going fishing, I will check the weather report to make sure it's okay.","If my friends and I go fishing together, I will check the weather to make sure it's okay.  ",I will check the weather for my friends and me if we plan to go fishing together.  ,"When my friend group and I go together for fishing, I'll make sure to check the weather.  ",I'll ensure the weather is okay by checking it if my friends and I are going fishing together.  ,"If my friend group goes fishing with me, I'll check the weather to confirm it's okay.  ",I will verify the weather for us if my friends and I are departing to go fishing together.  ,"If we all decide to go fishing, I'll make sure to check the weather first for us.  ","When my friends want to go fishing together, I'll ensure the weather is okay by checking.  ","If my friends and I are planning to go fishing, checking the weather to make sure it's okay is what I'll do.  ",I'll ensure the weather is okay by confirming it if I'm going fishing with my friend group.  ,,,,,,,,,
"POSS-1p FRIEND FISHING (1h)FISH IX-1p HURRY IX-1p DCL:crvd-B""bucket"" DCL:B-L""fill bucket"" ICL:crvd-B""move bucket"" FISH DCL:S-5""throw fish in bucket"" WHY++ FOR EAT+NIGHT+ EAT+NIGHT+",My friend caught a fish. I hurried and got a bucket and filled it with water to put the fish in to save the fish for dinner.,My friend and I went fishing eagerly so we could fill a bucket with fish to eat at night.  ,I fished with my friend and hurried to fill a bucket with fish for dinner tonight.  ,My friend joined me fishing to quickly catch fish and fill a bucket for tonight's meal.  ,"Friend fishing, eager to fill bucket with fish, then throw in bucket for dinner tonight.  ",I went with my friend to fish quickly and fill the bucket for eating tonight.  ,"The plan was to fish quickly with my friend, fill the bucket, and eat the fish tonight.  ",My friend and I went fishing to fill a bucket and eat the fish tonight.  ,Fishing hurriedly with a friend to catch and fill a bucket of fish for dinner.  ,I excitedly fished with a friend to fill the bucket for tonight's dinner.  ,Fishing with friend to quickly fill bucket and eat fish tonight.,,,,,,,,,
PLAN SURPRISE ns-fs-BOB WHO,Who is planning to surprise Bob?,Who is planning a surprise for Bob?  ,Who is Bob planning a surprise for?  ,Who plans a surprise for Bob?  ,Who does Bob plan a surprise for?  ,Who is going to plan a surprise for Bob?  ,Who is organizing a surprise for Bob?  ,Who is Bob organizing a surprise for?  ,Who arranged a surprise for Bob?  ,Who did Bob arrange a surprise for?  ,Who has planned a surprise for Bob?,,,,,,,,,
SURPRISE (P)PARTY TIME START #WHEN part:indef,What time does the surprise party start?,When does the surprise party start?  ,When is the surprise party time starting?  ,What time does the surprise party begin?  ,When will the surprise party begin?  ,What time is the surprise party supposed to start?  ,When is the surprise party scheduled to start?  ,At what time does the surprise party start?  ,When's the surprise party going to start?  ,When is the surprise party going to begin?  ,What time does the surprise birthday party start?  ,,,,,,,,,
#VP CLEAR,Is the video phone clear?,The vice president is clear.  ,The vice president has clarity.  ,The vice president made it clear.  ,The vice president communicated clearly.  ,It is clear from the vice president.  ,The vice president is unambiguous.  ,The vice president provided clarity.  ,Clarity comes from the vice president.  ,The vice president is distinct.  ,The vice president is understandable.  ,,,,,,,,,
FRIEND GO-OUT FISHING+,My friends are going fishing.,A friend went out fishing.  ,A friend is going out fishing.  ,The friend went out to fish.  ,My friend went fishing.  ,The friend is going out fishing.  ,Friend went out to fish.  ,Friend is going fishing.  ,A friend is fishing.  ,The friend went fishing.  ,Friend went out fishing.  ,,,,,,,,,
